City,State,Population,PopulationDensity,Github URL
New York City,NY,8230290,27400,https://github.com/cityofnewyork
Los Angeles,CA,3983540,8494,https://github.com/CityOfLosAngeles
Chicago,IL,2679080,11783,https://github.com/Chicago
Houston,TX,2323660,3630,
Phoenix,AZ,1733630,3349,
Philadelphia,PA,1585010,11804,https://github.com/cityofphiladelphia
San Antonio,TX,1581730,3261,
San Diego,CA,1427720,4381,https://github.com/cityofsandiego
Dallas,TX,1347120,3965,
Austin,TX,1011790,3162,https://github.com/cityofaustin
San Jose,CA,1009340,5677,
Fort Worth,TX,942323,2727,https://github.com/cityoffortworth
Jacksonville,FL,929647,1244,
Columbus,OH,913921,4169,
Charlotte,NC,912096,2969,
Indianapolis,IN,887232,2454,
San Francisco,CA,883255,18832,https://github.com/SFMOCI
Seattle,WA,776555,9260,
Denver,CO,749103,4887,https://github.com/DenverDev
Washington,DC,714153,11681,https://github.com/DCgov
Boston,MA,695506,14388,https://github.com/CityOfBoston
El Paso,TX,685434,2663,
Nashville,TN,678448,1427,
Oklahoma City,OK,669347,1104,
Las Vegas,NV,667501,4708,
Detroit,MI,664139,4788,https://github.com/CityOfDetroit
Portland,OR,662549,4966,https://github.com/cityofportland
Memphis,TN,651011,2051,https://github.com/MemphisTN
Louisville,KY,615924,2338,https://github.com/LouisvilleMetro
Milwaukee,WI,587721,6110,
Baltimore,MD,575584,7111,https://github.com/city-of-baltimore
Albuquerque,NM,562281,3003,
Tucson,AZ,554503,2330,https://github.com/tucsonaz
Mesa,AZ,538146,3897,
Fresno,CA,537100,4682,
Sacramento,CA,525398,5376,
Atlanta,GA,524067,3861,
Kansas City,MO,501957,1594,https://github.com/kcmo
Colorado Springs,CO,489529,2510,
Raleigh,NC,483579,3315,https://github.com/CORaleigh
Omaha,NE,479978,3405,
Miami,FL,478251,13286,https://github.com/miamidade
Long Beach,CA,456154,8998,https://github.com/longbeachinnovationteam
Virginia Beach,VA,450224,1840,https://github.com/CityOfVirginiaBeach
Oakland,CA,440981,7890,https://github.com/CityofOakland
Minneapolis,MN,439012,8130,
Tampa,FL,404636,3549,
Tulsa,OK,402742,2039,
Arlington,TX,400316,4180,
Wichita,KS,391352,2421,
Bakersfield,CA,389007,2598,
Aurora,CO,388723,2520,
New Orleans,LA,388424,2292,https://github.com/CityOfNewOrleans
Cleveland,OH,376599,4847,
Anaheim,CA,349699,6950,
Henderson,NV,341531,3220,
Honolulu,HI,341302,5637,https://github.com/Honolulu
Riverside,CA,334772,4120,
Santa Ana,CA,333130,12175,
Corpus Christi,TX,327144,2048,
Lexington,KY,324604,1144,https://github.com/lfucg
San Juan,PR,323279,8177,https://github.com/commonwealth-of-puerto-rico
Stockton,CA,314835,5064,
St. Paul,MN,310368,5971,
Cincinnati,OH,307266,3948,
Greensboro,NC,301094,2333,
Pittsburgh,PA,299718,5412,https://github.com/CityofPittsburgh
Irvine,CA,298739,4553,
St. Louis,MO,294890,4776,
Lincoln,NE,293446,3050,
Orlando,FL,290520,2628,
Durham,NC,287865,2565,
Plano,TX,285537,3983,
Anchorage,AK,282958,166,
Newark,NJ,282529,11702,
Chula Vista,CA,281838,5678,
Fort Wayne,IN,276286,2497,
Chandler,AZ,269123,4132,
Toledo,OH,268609,3337,
St. Petersburg,FL,267121,4318,
Reno,NV,266511,2451,
Laredo,TX,265761,2513,
Scottsdale,AZ,265249,1442,
North Las Vegas,NV,265224,2706,
Lubbock,TX,263648,1957,
Madison,WI,263332,3319,
Gilbert,AZ,262514,3834,
Jersey City,NJ,258523,17534,
Glendale,AZ,257233,4176,
Buffalo,NY,254290,6298,
Winston-Salem,NC,250765,1891,
Chesapeake,VA,249787,738,
Fremont,CA,247708,3198,
Norfolk,VA,241056,4525,
Irving,TX,236546,3527,
Garland,TX,236366,4142,
Paradise,NV,235087,5031,
Arlington,VA,233464,8980,https://github.com/ArlingtonCounty
Richmond,VA,232866,3886,
Hialeah,FL,230135,10664,
